
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. ABFN_UART_GPIO_INT_MSS, 0, 0, 0, 0, 0, 0, 0, 1, 4
.	. ABFN_UART_GPIO_INT_MSS_sb, 0, 0, 0, 0, 0, 0, 0, 1, 4
.	.	. ABFN_UART_GPIO_INT_MSS_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. ABFN_UART_GPIO_INT_MSS_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. ABFN_UART_GPIO_INT_MSS_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 4
