pin,slack
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_3:B,33875
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_3:C,35096
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_3:D,34985
TEMP_sb_0/CoreGPIO_0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_3:Y,33875
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIOl:ALn,36765
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIOl:CLK,31761
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIOl:D,27260
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIOl:EN,38393
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIOl:Q,31761
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_14:IPA,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CI1Il_6_u_0_o2_0:A,31841
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CI1Il_6_u_0_o2_0:B,35118
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CI1Il_6_u_0_o2_0:Y,31841
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0I[6]:ALn,36765
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0I[6]:CLK,33833
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0I[6]:D,37002
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0I[6]:EN,32076
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CII0I[6]:Q,33833
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_70:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cll0l.CI2COI0I25:A,27113
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cll0l.CI2COI0I25:B,27081
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cll0l.CI2COI0I25:Y,27081
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[0]:ALn,36765
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[0]:CLK,27231
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[0]:D,31449
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[0]:Q,27231
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIll.CI2ClI0I49:A,31670
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIll.CI2ClI0I49:B,32629
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClIll.CI2ClI0I49:Y,31670
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[2]:ALn,36765
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[2]:CLK,27329
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[2]:D,33819
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO0Il[2]:Q,27329
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_87:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_87:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COI0I_3_0[2]:A,32817
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COI0I_3_0[2]:B,32665
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COI0I_3_0[2]:C,31501
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COI0I_3_0[2]:Y,31501
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cl0lI_RNO[2]:A,32671
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cl0lI_RNO[2]:B,33869
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cl0lI_RNO[2]:C,37407
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cl0lI_RNO[2]:D,36161
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2Cl0lI_RNO[2]:Y,32671
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO00l.CI2ClO0I_9_1[4]:A,34018
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO00l.CI2ClO0I_9_1[4]:B,34173
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO00l.CI2ClO0I_9_1[4]:C,31617
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO00l.CI2ClO0I_9_1[4]:D,27931
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CO00l.CI2ClO0I_9_1[4]:Y,27931
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_232:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CO0Il29_RNI15IF6:A,31616
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CO0Il29_RNI15IF6:B,30425
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CO0Il29_RNI15IF6:C,32746
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CO0Il29_RNI15IF6:D,30445
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COIll.CI2CO0Il29_RNI15IF6:Y,30425
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_175:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_23:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPB,
TEMP_sb_0/CORERESETP_0/MSS_HPMS_READY_int_RNI800K4/U0_RGB1:An,
TEMP_sb_0/CORERESETP_0/MSS_HPMS_READY_int_RNI800K4/U0_RGB1:YL,36765
TEMP_sb_0/CoreGPIO_0_0/PRDATA_o_m2_1[0]:A,35459
TEMP_sb_0/CoreGPIO_0_0/PRDATA_o_m2_1[0]:B,34249
TEMP_sb_0/CoreGPIO_0_0/PRDATA_o_m2_1[0]:C,33573
TEMP_sb_0/CoreGPIO_0_0/PRDATA_o_m2_1[0]:D,29635
TEMP_sb_0/CoreGPIO_0_0/PRDATA_o_m2_1[0]:Y,29635
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux[6]:A,32503
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux[6]:B,32358
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux[6]:C,33999
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux[6]:D,33838
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux[6]:FCO,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/PRDATA_3_1_0_wmux[6]:Y,32358
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CIIll.CI2CII0I_9_i_a2_0[3]:A,34099
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CIIll.CI2CII0I_9_i_a2_0[3]:B,33968
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CIIll.CI2CII0I_9_i_a2_0[3]:C,32975
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CIIll.CI2CII0I_9_i_a2_0[3]:D,33662
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2CIIll.CI2CII0I_9_i_a2_0[3]:Y,32975
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_41:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_192:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_192:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_192:IPC,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_2_sqmuxa_1:A,34058
