pin,slack
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_218:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_218:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_i[4]:A,11513
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_i[4]:B,10610
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_i[4]:C,13829
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_i[4]:D,14023
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_i[4]:Y,10610
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_188:IPA,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_5[1]:A,17314
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_5[1]:B,17390
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_5[1]:C,17548
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_5[1]:D,14187
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_5[1]:Y,14187
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_235:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_235:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_187:IPA,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt_write_proc.un1_SDAInt8:A,17386
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt_write_proc.un1_SDAInt8:B,17532
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt_write_proc.un1_SDAInt8:C,17440
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt_write_proc.un1_SDAInt8:Y,17386
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_RNI50H0C1[3]:A,9848
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_RNI50H0C1[3]:B,9755
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_RNI50H0C1[3]:C,11865
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_RNI50H0C1[3]:D,11938
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_RNI50H0C1[3]:Y,9755
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/bsd7_RNO:A,17228
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/bsd7_RNO:B,17223
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/bsd7_RNO:C,10286
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/bsd7_RNO:D,10199
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/bsd7_RNO:Y,10199
TEMP1_MSS_0/I2C_1_SCL_PAD/U_IOPAD:D,
TEMP1_MSS_0/I2C_1_SCL_PAD/U_IOPAD:E,
TEMP1_MSS_0/I2C_1_SCL_PAD/U_IOPAD:PAD,
TEMP1_MSS_0/I2C_1_SCL_PAD/U_IOPAD:Y,
